Name,Year,Popularity,Name,Year,Popularity,diff
Mckenzie,1980,3342,Mckenzie,2009,341,-3001
Dayton,1980,4073,Dayton,2009,1076,-2997
Shaila,1980,5653,Shaila,2009,2662,-2991
Isabella,1980,2985,Isabella,2009,1,-2984
Haven,1980,3881,Haven,2009,923,-2958
Slade,1980,5108,Slade,2009,2150,-2958
Khadija,1980,5586,Khadija,2009,2634,-2952
Otto,1980,5295,Otto,2009,2364,-2931
Calli,1980,5495,Calli,2009,2580,-2915
Karlee,1980,4129,Karlee,2009,1238,-2891
Maryjane,1980,4517,Maryjane,2009,1629,-2888
Milan,1980,4084,Milan,2009,1207,-2877
Trevon,1980,4280,Trevon,2009,1414,-2866
Bria,1980,4425,Bria,2009,1560,-2865
Jensen,1980,4715,Jensen,2009,1854,-2861
Lorelei,1980,3960,Lorelei,2009,1115,-2845
Aiyana,1980,3951,Aiyana,2009,1113,-2838
Heidy,1980,4615,Heidy,2009,1800,-2815
Soren,1980,4371,Soren,2009,1578,-2793
Ema,1980,5563,Ema,2009,2774,-2789
Corbin,1980,3309,Corbin,2009,543,-2766
Mira,1980,4208,Mira,2009,1445,-2763
Isai,1980,4468,Isai,2009,1712,-2756
Melia,1980,5420,Melia,2009,2672,-2748
King,1980,3697,King,2009,954,-2743
Scarlet,1980,3852,Scarlet,2009,1112,-2740
Madeleine,1980,3375,Madeleine,2009,657,-2718
Emery,1980,3256,Emery,2009,541,-2715
Kamaria,1980,5580,Kamaria,2009,2868,-2712
Seamus,1980,4422,Seamus,2009,1734,-2688
Aaliyah,1980,2838,Aaliyah,2009,161,-2677
Gianna,1980,2858,Gianna,2009,181,-2677
Aubree,1980,3234,Aubree,2009,572,-2662
Janaya,1980,5205,Janaya,2009,2554,-2651
Kiersten,1980,4027,Kiersten,2009,1380,-2647
Jovany,1980,4718,Jovany,2009,2077,-2641
Emerson,1980,2999,Emerson,2009,428,-2571
Eden,1980,2960,Eden,2009,401,-2559
Connor,1980,2617,Connor,2009,72,-2545
Evangeline,1980,3373,Evangeline,2009,828,-2545
Charli,1980,4439,Charli,2009,1908,-2531
Cordelia,1980,4930,Cordelia,2009,2400,-2530
Tyrese,1980,4358,Tyrese,2009,1831,-2527
Maximilian,1980,3510,Maximilian,2009,996,-2514
Alayna,1980,3074,Alayna,2009,561,-2513
Johan,1980,3519,Johan,2009,1007,-2512
Elina,1980,4604,Elina,2009,2097,-2507
Jacoby,1980,3419,Jacoby,2009,924,-2495
Brodie,1980,3528,Brodie,2009,1037,-2491
Isac,1980,5735,Isac,2009,3248,-2487
Asher,1980,2790,Asher,2009,304,-2486
Milo,1980,3424,Milo,2009,947,-2477
Hailey,1980,2554,Hailey,2009,92,-2462
Kade,1980,3292,Kade,2009,843,-2449
Keila,1980,4445,Keila,2009,2024,-2421
Lianna,1980,4449,Lianna,2009,2032,-2417
Lucie,1980,5419,Lucie,2009,3003,-2416
Kaitlyn,1980,2576,Kaitlyn,2009,166,-2410
Matilda,1980,3839,Matilda,2009,1438,-2401
Diamond,1980,3332,Diamond,2009,934,-2398
Eliel,1980,5718,Eliel,2009,3331,-2387
Dalton,1980,2847,Dalton,2009,464,-2383
Mayte,1980,4648,Mayte,2009,2265,-2383
Caitlyn,1980,2910,Caitlyn,2009,528,-2382
Zack,1980,4479,Zack,2009,2100,-2379
Kiran,1980,5131,Kiran,2009,2766,-2365
Tucker,1980,2788,Tucker,2009,426,-2362
Lucero,1980,4206,Lucero,2009,1844,-2362
Cain,1980,4551,Cain,2009,2189,-2362
Brody,1980,2479,Brody,2009,121,-2358
Ember,1980,3957,Ember,2009,1608,-2349
Jakob,1980,3005,Jakob,2009,659,-2346
Carter,1980,2411,Carter,2009,70,-2341
Layne,1980,3649,Layne,2009,1309,-2340
Nadya,1980,5629,Nadya,2009,3290,-2339
Willow,1980,2949,Willow,2009,614,-2335
Vida,1980,5683,Vida,2009,3348,-2335
Kolby,1980,3710,Kolby,2009,1383,-2327
Sophie,1980,2491,Sophie,2009,165,-2326
Imani,1980,3116,Imani,2009,796,-2320
Angeles,1980,5530,Angeles,2009,3213,-2317
Darrion,1980,5458,Darrion,2009,3145,-2313
Nola,1980,4034,Nola,2009,1733,-2301
Jai,1980,4713,Jai,2009,2412,-2301
Mya,1980,2520,Mya,2009,222,-2298
Nehemiah,1980,3028,Nehemiah,2009,731,-2297
Jameson,1980,2921,Jameson,2009,636,-2285
Lluvia,1980,4638,Lluvia,2009,2353,-2285
Kinsey,1980,4134,Kinsey,2009,1861,-2273
Annabelle,1980,2601,Annabelle,2009,342,-2259
Ajay,1980,5262,Ajay,2009,3008,-2254
Matias,1980,3782,Matias,2009,1555,-2227
Adriano,1980,5690,Adriano,2009,3465,-2225
Camron,1980,3129,Camron,2009,932,-2197
